,power,Wind,GridAvailability,SolarGen
43,347.0,0.82,1,0.0
44,198.5,0.807,1,0.0
45,342.5,0.8029999999999999,0,0.0
46,126.0,0.797,0,0.0
47,117.0,0.8,1,0.0
48,100.5,0.82,0,0.0
49,86.0,0.8270000000000001,0,0.0
50,80.0,0.8320000000000001,1,0.0
51,75.0,0.835,1,0.0
52,75.0,0.836,1,0.0
53,84.0,0.8220000000000001,0,0.0
54,84.0,0.797,1,0.0
55,98.0,0.7829999999999999,1,0.163
56,112.0,0.83,1,0.41100000000000003
57,121.5,0.856,1,0.599
58,131.5,0.8490000000000001,0,0.716
59,114.0,0.84,1,0.772
60,93.0,0.8290000000000001,1,0.7609999999999999
61,92.0,0.8170000000000001,1,0.71
62,152.0,0.8079999999999999,1,0.599
63,408.0,0.8009999999999999,1,0.39799999999999996
64,428.0,0.7829999999999999,1,0.17
65,182.0,0.75,0,0.008
66,168.0,0.7240000000000001,1,0.0
67,559.0,0.713,0,0.0
68,194.0,0.705,0,0.0
69,134.0,0.6970000000000001,1,0.0
70,114.0,0.674,1,0.0
71,99.0,0.64,1,0.0
72,87.0,0.605,1,0.0
73,103.0,0.575,1,0.0
74,88.5,0.5539999999999999,1,0.0
75,75.0,0.5329999999999999,0,0.0
76,75.0,0.515,1,0.0
77,78.0,0.45899999999999996,1,0.0
78,81.0,0.413,1,0.0
79,98.0,0.391,1,0.228
80,504.5,0.49,1,0.475
81,93.0,0.541,1,0.659
82,105.0,0.521,1,0.769
83,142.0,0.49200000000000005,1,0.823
84,161.0,0.465,1,0.8079999999999999
85,126.0,0.44299999999999995,1,0.759
86,660.0,0.428,1,0.6509999999999999
87,411.0,0.41,0,0.47700000000000004
88,136.0,0.38,0,0.23399999999999999
89,139.0,0.35,1,0.015
90,182.0,0.341,1,0.0
91,443.0,0.315,1,0.0
92,240.5,0.294,0,0.0
93,139.5,0.271,0,0.0
94,93.0,0.264,0,0.0
95,96.0,0.26,1,0.0
96,75.0,0.26,1,0.0
97,83.0,0.263,0,0.0
98,81.0,0.265,1,0.0
99,78.0,0.271,1,0.0
100,81.0,0.275,1,0.0
101,81.0,0.268,1,0.0
102,96.0,0.262,0,0.0
103,100.5,0.256,0,0.19
104,127.0,0.335,0,0.439
105,137.0,0.395,0,0.632
106,140.0,0.409,0,0.74
107,108.0,0.425,1,0.7979999999999999
108,139.0,0.451,0,0.8059999999999999
109,172.0,0.48200000000000004,1,0.764
110,669.5,0.513,0,0.6579999999999999
111,390.5,0.52,1,0.467
